topic,score1,score2,score3,score4,score5
1,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 4, 4, 3, 4]"
2,"[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]"
3,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 3, 3, 4]"
4,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 4]","[3, 4, 4, 4, 4]"
5,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[3, 4, 4, 3, 4]"
6,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]"
7,"[2, 5, 5, 5, 5]","[3, 5, 5, 5, 5]","[3, 5, 4, 4, 4]","[2, 5, 5, 5, 4]","[2, 5, 4, 4, 4]"
8,"[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]"
9,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 4, 3, 4]"
10,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 4, 3, 4, 4]","[2, 3, 3, 3, 3]"
11,"[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]"
12,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]"
13,"[2, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
14,"[3, 5, 5, 5, 4]","[3, 5, 4, 5, 4]","[4, 5, 5, 5, 5]","[3, 5, 4, 4, 4]","[3, 5, 4, 5, 4]"
15,"[2, 4, 3, 3, 3]","[1, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[1, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
16,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
17,"[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]"
18,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 4, 3, 4]","[2, 4, 4, 4, 3]"
19,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
20,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[4, 4, 4, 4, 4]"
21,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 5, 4, 4, 4]"
22,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]"
