topic,score1,score2,score3,score4,score5
101,2,2,2,1,1
102,3,3,3,2,3
103,3,3,3,3,3
104,3,3,3,3,3
105,3,3,3,2,3
106,3,4,3,3,3
107,3,2,3,3,3
108,3,3,3,3,3
109,4,4,4,4,4
110,2,2,2,2,2
111,3,3,2,3,3
112,3,3,3,3,3
113,1,2,1,1,1
114,2,2,3,2,3
115,2,2,2,2,3
116,2,1,2,2,1
117,3,3,3,3,2
118,2,2,3,3,2
119,2,2,2,2,2
120,2,2,2,2,2
121,3,3,3,3,3
122,2,2,2,2,2
123,3,3,3,3,3
124,3,3,3,3,3
125,2,2,2,2,2
126,3,3,3,3,3
127,3,3,3,3,3
128,3,3,3,3,3
129,3,2,2,3,2
130,4,5,4,4,4
131,3,3,3,3,3
132,3,2,2,2,3
133,3,2,3,2,3
134,3,3,3,3,3
135,3,3,3,3,4
136,2,3,2,2,2
137,3,3,2,3,3
138,3,3,3,3,3
139,4,4,4,3,4
140,1,1,1,1,1
141,3,3,3,3,3
142,2,3,3,3,3
143,2,2,2,2,2
144,3,3,3,3,3
145,3,3,3,3,3
146,3,3,3,3,3
147,4,4,4,4,4
148,3,4,3,3,3
149,2,2,2,2,2
150,3,3,3,3,4
