topic,score1,score2,score3,score4,score5
1,4,3,5,4,4
2,3,4,4,3,5
3,3,4,4,3,5
4,4,5,3,4,5
5,3,4,3,4,3
6,3,4,3,4,5
7,5,4,5,4,5
8,3,4,3,4,5
9,4,3,4,4,5
10,3,4,3,4,3
11,3,4,3,4,4
12,3,4,3,4,3
13,4,3,5,4,4
14,4,5,4,5,4
15,2,3,4,3,4
16,4,4,3,5,4
17,3,4,4,3,5
18,3,4,4,3,5
19,4,5,3,4,5
20,4,3,5,4,4
21,4,5,3,4,5
22,4,5,3,4,4
23,4,5,4,3,5
24,3,4,3,5,4
25,3,4,3,4,3
26,4,5,4,3,5
27,4,3,5,4,4
28,3,4,2,3,4
29,3,4,5,4,3
30,3,4,4,5,3
31,4,5,4,3,4
32,3,4,2,3,4
33,4,5,4,5,4
34,1,2,1,1,1
35,3,4,3,4,5
36,4,5,4,5,4
37,4,5,5,4,5
38,3,4,3,4,3
39,5,5,4,5,5
40,3,4,3,5,4
41,3,4,3,4,5
42,3,4,3,4,3
43,3,4,2,4,3
44,4,3,4,5,4
45,3,4,4,3,5
46,3,4,2,4,3
47,4,5,4,5,4
48,3,4,3,4,4
49,3,4,3,5,4
50,3,4,3,4,5
