topic,score1,score2,score3,score4,score5
101,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
102,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]"
103,"[3, 4, 3, 4, 4]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[3, 4, 3, 3, 4]","[3, 4, 3, 4, 4]"
104,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]"
105,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
106,"[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]"
107,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
108,"[3, 4, 3, 3, 4]","[3, 4, 3, 3, 4]","[3, 4, 3, 3, 3]","[3, 4, 3, 3, 3]","[2, 3, 3, 2, 3]"
109,"[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 3, 4]"
110,"[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 2, 2, 2]"
111,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 2, 3]"
112,"[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
