topic,score1,score2,score3,score4,score5
1,4,4,4,4,4
2,4,4,4,4,4
3,4,4,4,3,3
4,4,4,4,3,3
5,4,4,4,4,4
6,4,4,4,3,3
7,5,5,5,5,5
8,4,4,4,4,4
9,4,4,4,4,4
10,3,3,3,2,3
11,3,4,4,3,4
12,3,3,3,3,3
13,4,4,4,4,4
14,5,5,5,5,5
15,3,4,3,4,3
16,4,4,4,4,4
17,4,4,4,4,4
18,4,4,4,4,4
19,4,4,4,4,4
20,4,4,4,4,4
21,4,4,4,4,4
22,3,3,4,4,3
23,4,4,4,4,4
24,3,3,3,4,3
25,3,3,3,3,4
26,4,4,4,4,4
27,4,4,4,4,3
28,3,3,3,4,3
29,4,3,3,3,4
30,4,4,4,4,4
31,4,4,4,4,4
32,3,3,3,3,4
33,5,4,5,5,5
34,1,1,1,1,1
35,4,4,3,4,4
36,4,4,4,4,4
37,4,4,4,5,5
38,3,3,3,3,3
39,5,5,5,5,5
40,3,3,3,3,3
41,3,3,3,4,2
42,3,3,4,3,3
43,3,4,3,4,3
44,4,4,3,4,3
45,4,3,4,3,4
46,3,3,3,4,3
47,4,4,4,5,4
48,4,3,4,4,4
49,4,4,4,4,4
50,4,4,4,4,4
