topic,confidence
151,1.5388645231723785
152,2.2936150431632996
153,1.5407884493470192
154,1.2334910221397877
155,1.1177177540957928
156,1.6185011714696884
157,1.5390466898679733
158,1.1849229224026203
159,1.1597013100981712
160,1.3612343929708004
161,1.8400076776742935
162,1.07891159132123
163,1.0389041155576706
164,1.136406697332859
165,1.614316739141941
166,0.9840238839387894
167,1.6619695350527763
168,1.332284789532423
169,1.1561200022697449
170,1.6853941604495049
171,3.767472878098488
172,1.3661641627550125
173,1.2849708087742329
174,1.2833339162170887
175,1.4806503430008888
176,1.3947728089988232
177,1.280028373003006
178,3.515895828604698
179,1.3142701238393784
180,5.99750429391861
181,1.2830602936446667
182,3.468950465321541
183,1.2632857076823711
184,1.2513075955212116
185,5.261123925447464
186,1.0244549252092838
187,1.4586910605430603
188,1.1905640363693237
189,1.4969119802117348
190,0.9943204000592232
191,1.4259522780776024
192,1.360065583139658
193,1.5651419758796692
194,1.057189516723156
195,1.540038362145424
196,1.0955159552395344
197,1.2068706564605236
198,1.0990145616233349
199,1.2542870827019215
200,1.0592957958579063
